Fecha,Cierre
12/09/2017,89.32
11/09/2017,89.01
08/09/2017,88.74
07/09/2017,87.65
06/09/2017,88.74
05/09/2017,89.36
04/09/2017,90.13
01/09/2017,91.09
31/08/2017,92.44
30/08/2017,92.27
29/08/2017,92.99
28/08/2017,92.87
25/08/2017,92.72
24/08/2017,91.6
23/08/2017,91.23
22/08/2017,90.81
21/08/2017,90.87
18/08/2017,90.3
17/08/2017,91.48
16/08/2017,91.42
15/08/2017,92.35
14/08/2017,92.18
11/08/2017,92.32
10/08/2017,93.24
09/08/2017,94.15
08/08/2017,93.98
07/08/2017,94.43
04/08/2017,94.65
03/08/2017,94.72
02/08/2017,95.51
01/08/2017,97.39
31/07/2017,94.89
28/07/2017,94.97
27/07/2017,93.72
26/07/2017,94.91
25/07/2017,94.25
24/07/2017,93.61
21/07/2017,92.49
20/07/2017,91.51
19/07/2017,91.98
18/07/2017,91.96
17/07/2017,92.48
14/07/2017,91.8
13/07/2017,92.89
12/07/2017,92.01
11/07/2017,94.28
10/07/2017,93.04
07/07/2017,89.79
06/07/2017,90.71
05/07/2017,91.5
04/07/2017,89.82
03/07/2017,89.89
30/06/2017,88.45
29/06/2017,87.55
28/06/2017,90.03
27/06/2017,89.03
26/06/2017,89.11
23/06/2017,87.91
22/06/2017,87.02
21/06/2017,87.19
20/06/2017,86.69
19/06/2017,86.85
16/06/2017,87.77
15/06/2017,88.36
14/06/2017,88.99
13/06/2017,89.08
12/06/2017,88.75
09/06/2017,88.09
08/06/2017,88.34
07/06/2017,89.01
06/06/2017,89.5
05/06/2017,90.5
02/06/2017,91.05
01/06/2017,90.52
31/05/2017,90.19
30/05/2017,91.04
29/05/2017,91.77
26/05/2017,92.77
25/05/2017,92.59
24/05/2017,92.31
23/05/2017,90.58
22/05/2017,90.65
19/05/2017,90.42
18/05/2017,90.57
17/05/2017,90.3
16/05/2017,91.87
15/05/2017,92.69
12/05/2017,92.52
11/05/2017,93.32
10/05/2017,94.78
09/05/2017,94.56
08/05/2017,94.47
05/05/2017,93.17
04/05/2017,92.19
03/05/2017,92.38
02/05/2017,92.96
28/04/2017,91.33
27/04/2017,92.94
26/04/2017,97.56
25/04/2017,98.17
24/04/2017,95.18
21/04/2017,94.54
20/04/2017,95.63
19/04/2017,97.41
18/04/2017,97.1
17/04/2017,96.55
12/04/2017,96.9
11/04/2017,98.42
10/04/2017,97.77
07/04/2017,96.84
06/04/2017,96.53
05/04/2017,96.76
04/04/2017,97.25
03/04/2017,95.07
31/03/2017,96.96
30/03/2017,97.53
29/03/2017,97.43
28/03/2017,99.34
27/03/2017,99.82
24/03/2017,97.78
23/03/2017,97.91
22/03/2017,98.9
21/03/2017,99.89
17/03/2017,100.83
16/03/2017,101.93
15/03/2017,100.53
14/03/2017,101.16
13/03/2017,100.14
10/03/2017,99.82
09/03/2017,101.49
08/03/2017,100.46
